train_acc,train_loss,val_acc,val_loss
0.027515789473684212,4.4048405,0.046000000000000006,4.214021
0.04997894736842106,4.1422644,0.0432,4.1699505
0.06141052631578947,4.0452704,0.0736,4.0134444
0.07840000000000003,3.9651356,0.08,3.9595816
0.09393684210526317,3.8693883,0.10280000000000002,3.793252
0.10496842105263159,3.7944446,0.10240000000000002,3.8393235
0.11656842105263159,3.7128072,0.1152,3.6612136
0.12970526315789474,3.6393647,0.15200000000000002,3.5489821
0.1441894736842105,3.5627668,0.1524,3.4965758
0.15818947368421052,3.4849126,0.1668,3.4122336
0.17079999999999998,3.4241884,0.18359999999999999,3.3415005
0.18233684210526313,3.3562303,0.19880000000000003,3.2723281
0.1959368421052632,3.2919798,0.19080000000000003,3.288764
0.2052842105263158,3.2391922,0.19440000000000002,3.277058
0.21368421052631578,3.1964207,0.20560000000000003,3.1670337
0.2251157894736842,3.1447368,0.22599999999999998,3.1290536
0.23324210526315795,3.0959415,0.2268,3.1117828
0.23953684210526316,3.0528936,0.23879999999999998,3.0334024
0.2507157894736842,3.0040886,0.24280000000000002,3.0084956
0.2567789473684211,2.9604778,0.25920000000000004,2.9541929
0.2658736842105263,2.9218225,0.24280000000000002,3.0771368
0.27452631578947373,2.8768137,0.26,2.9361265
0.2802947368421052,2.8389232,0.2816,2.826546
0.2901263157894737,2.7868369,0.2872,2.8082998
0.29823157894736846,2.7522137,0.2968,2.7576675
0.3097684210526315,2.7004035,0.282,2.8447442
0.31311578947368424,2.6748505,0.30639999999999995,2.718546
0.3237052631578948,2.6256278,0.3016,2.6993933
0.32770526315789467,2.5982141,0.314,2.6564548
0.33614736842105264,2.5624573,0.3276,2.612232
0.34505263157894733,2.52931,0.30800000000000005,2.7125876
0.35061052631578954,2.495715,0.3256,2.6089044
0.35501052631578944,2.4682236,0.3432,2.5243008
0.3644631578947369,2.4375896,0.34559999999999996,2.544046
0.3680421052631579,2.409539,0.3459999999999999,2.5286891
0.3738947368421052,2.380222,0.35440000000000005,2.4460752
0.37943157894736845,2.3551846,0.3532,2.475697
0.3842736842105263,2.3277283,0.36080000000000007,2.4233503
0.3892210526315789,2.309377,0.3476000000000001,2.491191
0.39408421052631576,2.2840455,0.364,2.4459739
0.3998736842105263,2.2586513,0.358,2.4167275
0.40654736842105266,2.2257354,0.36840000000000006,2.3845735
0.4086947368421053,2.2117605,0.3872,2.3262885
0.41538947368421053,2.1908083,0.3764,2.351469
0.4176842105263158,2.1704276,0.37839999999999996,2.331364
0.42513684210526315,2.1444128,0.36920000000000003,2.4391081
0.42951578947368424,2.1269681,0.3712,2.4105282
0.4321052631578947,2.1072938,0.4008,2.2725227
0.4375578947368421,2.0938191,0.3932,2.2768188
0.44069473684210525,2.0723073,0.3852,2.287508
0.4420842105263158,2.0643177,0.402,2.2476337
0.4483578947368422,2.037544,0.39680000000000004,2.286895
0.4522526315789474,2.0237243,0.39559999999999995,2.2933302
0.4560421052631579,2.0049713,0.4032,2.2149858
0.4604421052631579,1.9872863,0.4156,2.2073278
0.4609684210526316,1.9823438,0.40480000000000005,2.195073
0.4653684210526316,1.9606931,0.4128,2.202075
0.46814736842105265,1.9462949,0.41840000000000005,2.1690147
0.47357894736842104,1.9353894,0.4276,2.1456792
0.4763157894736842,1.9174712,0.4156,2.1921973
0.47772631578947367,1.9063367,0.4172,2.1205778
0.47993684210526316,1.8945606,0.4144,2.1698503
0.4846105263157895,1.8790358,0.42560000000000003,2.123952
0.4845473684210526,1.8718526,0.4324,2.1062844
0.4886526315789474,1.8553914,0.42519999999999997,2.1138134
0.4902105263157895,1.8445578,0.43200000000000005,2.0870025
0.49406315789473687,1.8298173,0.4336,2.1002603
0.4983157894736842,1.8233185,0.42879999999999996,2.1095123
0.5003578947368421,1.8137425,0.43080000000000007,2.1216233
0.5036631578947368,1.8061588,0.44199999999999995,2.0828686
0.5074315789473685,1.7873479,0.43080000000000007,2.0874867
0.5063368421052631,1.7833332,0.44520000000000004,2.072957
0.5074736842105263,1.7765766,0.4416,2.0782626
0.5103368421052632,1.7687207,0.43799999999999994,2.0812473
0.5149052631578948,1.7509398,0.44800000000000006,2.0617094
0.514042105263158,1.7453548,0.444,2.063281
0.5176842105263157,1.7415498,0.4452,2.0593774
0.5192631578947369,1.7337091,0.4396,2.0478551
0.520842105263158,1.7216605,0.44919999999999993,2.054208
0.5215368421052632,1.7192062,0.43759999999999993,2.0608344
0.5243578947368421,1.7069306,0.446,2.061783
0.5263789473684211,1.7047875,0.45120000000000005,2.045351
0.5273263157894736,1.7037222,0.45399999999999996,2.0563786
0.5268842105263158,1.6962911,0.4528000000000001,2.0387275
0.5283368421052632,1.6833445,0.446,2.0426524
0.5266736842105263,1.6860948,0.44480000000000003,2.0317898
0.5315157894736843,1.6810739,0.4524,2.0298004
0.5314315789473684,1.6812916,0.44439999999999996,2.040357
0.5329473684210526,1.6711597,0.4452,2.0428865
0.5336631578947368,1.6677381,0.4432,2.0463357
0.5316631578947368,1.6749532,0.45480000000000004,2.0293865
0.5338526315789474,1.6715857,0.45039999999999997,2.0343657
0.5315578947368421,1.6674833,0.4431999999999999,2.0396366
0.5375368421052632,1.6612402,0.44800000000000006,2.0265343
0.536,1.6601963,0.4568,2.032723
0.5386105263157894,1.6554165,0.4504000000000001,2.029951
0.5349263157894736,1.6556423,0.4532,2.0318644
0.5371368421052632,1.651767,0.4536,2.035616
0.5401263157894737,1.6457012,0.44880000000000003,2.036911
0.5360842105263158,1.6542444,0.4536,2.0333147
